Row Labels,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,,,
"Albuquerque, NM",4661,143462,744050,771602,811421,851409,931324,1063217,1082588,1129303,1242174,,"<tr><td>Albuquerque, NM</td><td>1242174</td><td>1129303</td><td>1082588</td><td>1063217</td><td>931324</td><td>851409</td><td>811421</td><td>771602</td><td>744050</td><td>143462</td></tr>","{label: 'Albuquerque, NM' , data: [1242174,1129303,1082588,1063217,931324,851409,811421,771602,744050,143462],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Anchorage, AK",1800,31960,203367,199666,192331,187309,178350,164674,156300,145260,115191,,"<tr><td>Anchorage, AK</td><td>115191</td><td>145260</td><td>156300</td><td>164674</td><td>178350</td><td>187309</td><td>192331</td><td>199666</td><td>203367</td><td>31960</td></tr>","{label: 'Anchorage, AK' , data: [115191,145260,156300,164674,178350,187309,192331,199666,203367,31960],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Atlanta, GA",4458764,24160976,62076516,65168178,67840334,69049736,72910654,71512588,69905386,70506376,74236211,,"<tr><td>Atlanta, GA</td><td>74236211</td><td>70506376</td><td>69905386</td><td>71512588</td><td>72910654</td><td>69049736</td><td>67840334</td><td>65168178</td><td>62076516</td><td>24160976</td></tr>","{label: 'Atlanta, GA' , data: [74236211,70506376,69905386,71512588,72910654,69049736,67840334,65168178,62076516,24160976],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Austin, TX",37359,278779,671133,807869,825533,810567,837749,777894,815031,601754,469328,,"<tr><td>Austin, TX</td><td>469328</td><td>601754</td><td>815031</td><td>777894</td><td>837749</td><td>810567</td><td>825533</td><td>807869</td><td>671133</td><td>278779</td></tr>","{label: 'Austin, TX' , data: [469328,601754,815031,777894,837749,810567,825533,807869,671133,278779],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Baltimore, MD",1062419,8042910,23013297,24072215,26644551,27970113,29023363,31986161,32787710,33024577,31848557,,"<tr><td>Baltimore, MD</td><td>31848557</td><td>33024577</td><td>32787710</td><td>31986161</td><td>29023363</td><td>27970113</td><td>26644551</td><td>24072215</td><td>23013297</td><td>8042910</td></tr>","{label: 'Baltimore, MD' , data: [31848557,33024577,32787710,31986161,29023363,27970113,26644551,24072215,23013297,8042910],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Boston, MA-NH-RI",13736970,86880308,247369946,250613922,257600261,268015256,266187194,282263005,278348525,277441582,270174531,,"<tr><td>Boston, MA-NH-RI</td><td>270174531</td><td>277441582</td><td>278348525</td><td>282263005</td><td>266187194</td><td>268015256</td><td>257600261</td><td>250613922</td><td>247369946</td><td>86880308</td></tr>","{label: 'Boston, MA-NH-RI' , data: [270174531,277441582,278348525,282263005,266187194,268015256,257600261,250613922,247369946,86880308],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Buffalo, NY",345205,2000000,4404283,4492168,4560644,4899621,5218485,4273515,5058439,6460209,6973287,,"<tr><td>Buffalo, NY</td><td>6973287</td><td>6460209</td><td>5058439</td><td>4273515</td><td>5218485</td><td>4899621</td><td>4560644</td><td>4492168</td><td>4404283</td><td>2000000</td></tr>","{label: 'Buffalo, NY' , data: [6973287,6460209,5058439,4273515,5218485,4899621,4560644,4492168,4404283,2000000],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Charlotte, NC-SC",563949,3921893,8987184,7430941,5280519,5316457,5142299,5130489,4977968,4967336,4796202,,"<tr><td>Charlotte, NC-SC</td><td>4796202</td><td>4967336</td><td>4977968</td><td>5130489</td><td>5142299</td><td>5316457</td><td>5280519</td><td>7430941</td><td>8987184</td><td>3921893</td></tr>","{label: 'Charlotte, NC-SC' , data: [4796202,4967336,4977968,5130489,5142299,5316457,5280519,7430941,8987184,3921893],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Chattanooga, TN-GA",52228,159184,495336,490906,492660,481093,441205,399624,385991,372445,355856,,"<tr><td>Chattanooga, TN-GA</td><td>355856</td><td>372445</td><td>385991</td><td>399624</td><td>441205</td><td>481093</td><td>492660</td><td>490906</td><td>495336</td><td>159184</td></tr>","{label: 'Chattanooga, TN-GA' , data: [355856,372445,385991,399624,441205,481093,492660,490906,495336,159184],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Chicago, IL-IN",13823690,93775951,283207407,297741389,304252104,314439498,317924502,316095806,306326140,309069022,297599459,,"<tr><td>Chicago, IL-IN</td><td>297599459</td><td>309069022</td><td>306326140</td><td>316095806</td><td>317924502</td><td>314439498</td><td>304252104</td><td>297741389</td><td>283207407</td><td>93775951</td></tr>","{label: 'Chicago, IL-IN' , data: [297599459,309069022,306326140,316095806,317924502,314439498,304252104,297741389,283207407,93775951],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
