UZAName,Year,Average of VOMS,Category
"Aberdeen-Bel Air South-Bel Air North, MD",2011,10.13,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2012,12.92,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2013,12.92,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2014,12.83,Non-Rail
"Abilene, TX",2011,13.50,Non-Rail
"Akron, OH",2011,57.27,Non-Rail
"Akron, OH",2012,43.51,Non-Rail
"Akron, OH",2013,47.28,Non-Rail
"Akron, OH",2014,48.42,Non-Rail
"Akron, OH",2015,50.02,Non-Rail
"Akron, OH",2016,50.28,Non-Rail
"Akron, OH",2017,63.13,Non-Rail
"Akron, OH",2018,50.03,Non-Rail
"Akron, OH",2019,49.28,Non-Rail
"Akron, OH",2020,37.53,Non-Rail
"Akron, OH",2021,34.07,Non-Rail
"Albany, GA",2011,5.83,Non-Rail
"Albany, GA",2012,5.50,Non-Rail
"Albany, GA",2013,5.75,Non-Rail
"Albany, GA",2014,6.50,Non-Rail
"Albany, GA",2015,6.67,Non-Rail
"Albany, GA",2016,6.54,Non-Rail
"Albany, GA",2017,7.46,Non-Rail
"Albany, GA",2018,7.88,Non-Rail
"Albany, GA",2019,8.08,Non-Rail
"Albany, GA",2020,6.82,Non-Rail
"Albany, GA",2021,3.00,Non-Rail
"Albany-Schenectady, NY",2011,53.18,Non-Rail
"Albany-Schenectady, NY",2012,49.45,Non-Rail
"Albany-Schenectady, NY",2013,47.45,Non-Rail
"Albany-Schenectady, NY",2014,47.62,Non-Rail
"Albany-Schenectady, NY",2015,52.02,Non-Rail
"Albany-Schenectady, NY",2016,53.55,Non-Rail
"Albany-Schenectady, NY",2017,53.73,Non-Rail
"Albany-Schenectady, NY",2018,54.90,Non-Rail
"Albany-Schenectady, NY",2019,58.37,Non-Rail
"Albany-Schenectady, NY",2020,55.98,Non-Rail
"Albany-Schenectady, NY",2021,56.80,Non-Rail
"Albuquerque, NM",2011,54.24,Non-Rail
"Albuquerque, NM",2011,18.33,Rail
"Albuquerque, NM",2012,42.07,Non-Rail
"Albuquerque, NM",2012,17.75,Rail
"Albuquerque, NM",2013,35.26,Non-Rail
"Albuquerque, NM",2013,21.50,Rail
"Albuquerque, NM",2014,34.79,Non-Rail
"Albuquerque, NM",2014,25.00,Rail
"Albuquerque, NM",2015,35.13,Non-Rail
"Albuquerque, NM",2015,24.42,Rail
"Albuquerque, NM",2016,35.35,Non-Rail
"Albuquerque, NM",2016,24.67,Rail
"Albuquerque, NM",2017,34.19,Non-Rail
"Albuquerque, NM",2017,23.17,Rail
"Albuquerque, NM",2018,35.47,Non-Rail
"Albuquerque, NM",2018,23.58,Rail
"Albuquerque, NM",2019,40.10,Non-Rail
"Albuquerque, NM",2019,23.42,Rail
"Albuquerque, NM",2020,29.81,Non-Rail
"Albuquerque, NM",2020,23.00,Rail
"Albuquerque, NM",2021,24.39,Non-Rail
"Albuquerque, NM",2021,15.00,Rail
"Alexandria, LA",2011,5.50,Non-Rail
"Allentown, PA-NJ",2011,83.96,Non-Rail
"Allentown, PA-NJ",2012,82.13,Non-Rail
"Allentown, PA-NJ",2013,82.50,Non-Rail
"Allentown, PA-NJ",2014,82.50,Non-Rail
"Allentown, PA-NJ",2015,82.83,Non-Rail
"Allentown, PA-NJ",2016,84.63,Non-Rail
"Allentown, PA-NJ",2017,67.23,Non-Rail
"Allentown, PA-NJ",2018,55.75,Non-Rail
"Allentown, PA-NJ",2019,52.56,Non-Rail
"Allentown, PA-NJ",2020,48.13,Non-Rail
"Allentown, PA-NJ",2021,58.00,Non-Rail
"Altoona, PA",2011,11.53,Non-Rail
"Altoona, PA",2012,11.67,Non-Rail
"Altoona, PA",2013,11.67,Non-Rail
"Altoona, PA",2014,11.22,Non-Rail
"Altoona, PA",2015,11.06,Non-Rail
"Altoona, PA",2016,11.06,Non-Rail
"Altoona, PA",2017,11.06,Non-Rail
"Altoona, PA",2018,11.06,Non-Rail
"Altoona, PA",2019,10.78,Non-Rail
"Altoona, PA",2020,9.67,Non-Rail
"Altoona, PA",2021,10.22,Non-Rail
"Amarillo, TX",2011,9.50,Non-Rail
"Amarillo, TX",2012,10.00,Non-Rail
"Amarillo, TX",2013,10.00,Non-Rail
"Amarillo, TX",2014,10.00,Non-Rail
"Ames, IA",2011,20.94,Non-Rail
"Ames, IA",2012,21.45,Non-Rail
"Ames, IA",2013,22.91,Non-Rail
"Ames, IA",2014,25.15,Non-Rail
"Ames, IA",2015,25.88,Non-Rail
"Ames, IA",2016,25.39,Non-Rail
"Ames, IA",2017,26.45,Non-Rail
"Ames, IA",2018,24.62,Non-Rail
