UZAName,Year,VRH,Category
"Aberdeen-Bel Air South-Bel Air North, MD",2011,39980,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2012,44542,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2013,44133,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2014,20906,Non-Rail
"Abilene, TX",2011,76556,Non-Rail
"Akron, OH",2011,491757,Non-Rail
"Akron, OH",2012,494306,Non-Rail
"Akron, OH",2013,520714,Non-Rail
"Akron, OH",2014,535003,Non-Rail
"Akron, OH",2015,541935,Non-Rail
"Akron, OH",2016,540418,Non-Rail
"Akron, OH",2017,545223,Non-Rail
"Akron, OH",2018,544908,Non-Rail
"Akron, OH",2019,559761,Non-Rail
"Akron, OH",2020,433947,Non-Rail
"Akron, OH",2021,108669,Non-Rail
"Albany, GA",2011,40662,Non-Rail
"Albany, GA",2012,38730,Non-Rail
"Albany, GA",2013,39480,Non-Rail
"Albany, GA",2014,42394,Non-Rail
"Albany, GA",2015,42245,Non-Rail
"Albany, GA",2016,42689,Non-Rail
"Albany, GA",2017,43023,Non-Rail
"Albany, GA",2018,45040,Non-Rail
"Albany, GA",2019,45120,Non-Rail
"Albany, GA",2020,32246,Non-Rail
"Albany, GA",2021,515,Non-Rail
"Albany-Schenectady, NY",2011,704529,Non-Rail
"Albany-Schenectady, NY",2012,705456,Non-Rail
"Albany-Schenectady, NY",2013,720205,Non-Rail
"Albany-Schenectady, NY",2014,757525,Non-Rail
"Albany-Schenectady, NY",2015,787111,Non-Rail
"Albany-Schenectady, NY",2016,843470,Non-Rail
"Albany-Schenectady, NY",2017,854735,Non-Rail
"Albany-Schenectady, NY",2018,848999,Non-Rail
"Albany-Schenectady, NY",2019,841571,Non-Rail
"Albany-Schenectady, NY",2020,772356,Non-Rail
"Albany-Schenectady, NY",2021,134662,Non-Rail
"Albuquerque, NM",2011,510879,Non-Rail
"Albuquerque, NM",2011,36676,Rail
"Albuquerque, NM",2012,520381,Non-Rail
"Albuquerque, NM",2012,36870,Rail
"Albuquerque, NM",2013,559099,Non-Rail
"Albuquerque, NM",2013,36503,Rail
"Albuquerque, NM",2014,560014,Non-Rail
"Albuquerque, NM",2014,36278,Rail
"Albuquerque, NM",2015,562440,Non-Rail
"Albuquerque, NM",2015,36463,Rail
"Albuquerque, NM",2016,567934,Non-Rail
"Albuquerque, NM",2016,36549,Rail
"Albuquerque, NM",2017,575408,Non-Rail
"Albuquerque, NM",2017,35799,Rail
"Albuquerque, NM",2018,569173,Non-Rail
"Albuquerque, NM",2018,35650,Rail
"Albuquerque, NM",2019,572493,Non-Rail
"Albuquerque, NM",2019,35842,Rail
"Albuquerque, NM",2020,437344,Non-Rail
"Albuquerque, NM",2020,7304,Rail
"Albuquerque, NM",2021,98216,Non-Rail
"Albuquerque, NM",2021,1378,Rail
"Alexandria, LA",2011,41269,Non-Rail
"Allentown, PA-NJ",2011,444637,Non-Rail
"Allentown, PA-NJ",2012,459182,Non-Rail
"Allentown, PA-NJ",2013,476681,Non-Rail
"Allentown, PA-NJ",2014,457926,Non-Rail
"Allentown, PA-NJ",2015,417042,Non-Rail
"Allentown, PA-NJ",2016,414352,Non-Rail
"Allentown, PA-NJ",2017,400686,Non-Rail
"Allentown, PA-NJ",2018,395379,Non-Rail
"Allentown, PA-NJ",2019,387107,Non-Rail
"Allentown, PA-NJ",2020,331496,Non-Rail
"Allentown, PA-NJ",2021,78923,Non-Rail
"Altoona, PA",2011,44923,Non-Rail
"Altoona, PA",2012,46008,Non-Rail
"Altoona, PA",2013,44671,Non-Rail
"Altoona, PA",2014,44687,Non-Rail
"Altoona, PA",2015,44059,Non-Rail
"Altoona, PA",2016,43874,Non-Rail
"Altoona, PA",2017,41213,Non-Rail
"Altoona, PA",2018,43621,Non-Rail
"Altoona, PA",2019,47367,Non-Rail
"Altoona, PA",2020,45610,Non-Rail
"Altoona, PA",2021,11624,Non-Rail
"Amarillo, TX",2011,62546,Non-Rail
"Amarillo, TX",2012,63637,Non-Rail
"Amarillo, TX",2013,63276,Non-Rail
"Amarillo, TX",2014,45531,Non-Rail
"Ames, IA",2011,112941,Non-Rail
"Ames, IA",2012,114332,Non-Rail
"Ames, IA",2013,116570,Non-Rail
"Ames, IA",2014,123418,Non-Rail
"Ames, IA",2015,129011,Non-Rail
"Ames, IA",2016,131475,Non-Rail
"Ames, IA",2017,130202,Non-Rail
"Ames, IA",2018,132117,Non-Rail
"Ames, IA",2019,167544,Non-Rail
"Ames, IA",2020,152097,Non-Rail
"Ames, IA",2021,40290,Non-Rail
"Anchorage, AK",2011,275104,Non-Rail
"Anchorage, AK",2011,5324,Rail
"Anchorage, AK",2012,281742,Non-Rail
"Anchorage, AK",2012,37616,Rail
"Anchorage, AK",2013,273091,Non-Rail
"Anchorage, AK",2013,37348,Rail
