UZAName,Year,VRH,Category
"Aberdeen-Bel Air South-Bel Air North, MD",2011,723336,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2012,794683,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2013,777971,Non-Rail
"Aberdeen-Bel Air South-Bel Air North, MD",2014,363817,Non-Rail
"Abilene, TX",2011,1015051,Non-Rail
"Akron, OH",2011,6404406,Non-Rail
"Akron, OH",2012,6705667,Non-Rail
"Akron, OH",2013,7351598,Non-Rail
"Akron, OH",2014,7335472,Non-Rail
"Akron, OH",2015,7384919,Non-Rail
"Akron, OH",2016,7274689,Non-Rail
"Akron, OH",2017,7372835,Non-Rail
"Akron, OH",2018,7530163,Non-Rail
"Akron, OH",2019,7559746,Non-Rail
"Akron, OH",2020,5790589,Non-Rail
"Akron, OH",2021,1425570,Non-Rail
"Albany, GA",2011,673866,Non-Rail
"Albany, GA",2012,620027,Non-Rail
"Albany, GA",2013,630436,Non-Rail
"Albany, GA",2014,688851,Non-Rail
"Albany, GA",2015,689663,Non-Rail
"Albany, GA",2016,694453,Non-Rail
"Albany, GA",2017,696245,Non-Rail
"Albany, GA",2018,735303,Non-Rail
"Albany, GA",2019,749369,Non-Rail
"Albany, GA",2020,677327,Non-Rail
"Albany, GA",2021,185707,Non-Rail
"Albany-Schenectady, NY",2011,9207740,Non-Rail
"Albany-Schenectady, NY",2012,9048251,Non-Rail
"Albany-Schenectady, NY",2013,9770729,Non-Rail
"Albany-Schenectady, NY",2014,10415546,Non-Rail
"Albany-Schenectady, NY",2015,10655904,Non-Rail
"Albany-Schenectady, NY",2016,10860037,Non-Rail
"Albany-Schenectady, NY",2017,11061766,Non-Rail
"Albany-Schenectady, NY",2018,11304754,Non-Rail
"Albany-Schenectady, NY",2019,11361312,Non-Rail
"Albany-Schenectady, NY",2020,10216411,Non-Rail
"Albany-Schenectady, NY",2021,2724163,Non-Rail
"Albuquerque, NM",2011,7350026,Non-Rail
"Albuquerque, NM",2011,1370680,Rail
"Albuquerque, NM",2012,7453774,Non-Rail
"Albuquerque, NM",2012,1424748,Rail
"Albuquerque, NM",2013,8003771,Non-Rail
"Albuquerque, NM",2013,1388562,Rail
"Albuquerque, NM",2014,8147118,Non-Rail
"Albuquerque, NM",2014,1385927,Rail
"Albuquerque, NM",2015,8228185,Non-Rail
"Albuquerque, NM",2015,1397970,Rail
"Albuquerque, NM",2016,8326525,Non-Rail
"Albuquerque, NM",2016,1400234,Rail
"Albuquerque, NM",2017,8340244,Non-Rail
"Albuquerque, NM",2017,1350224,Rail
"Albuquerque, NM",2018,8257269,Non-Rail
"Albuquerque, NM",2018,1337647,Rail
"Albuquerque, NM",2019,8495137,Non-Rail
"Albuquerque, NM",2019,1342120,Rail
"Albuquerque, NM",2020,5853868,Non-Rail
"Albuquerque, NM",2020,273541,Rail
"Albuquerque, NM",2021,1288017,Non-Rail
"Albuquerque, NM",2021,53714,Rail
"Alexandria, LA",2011,870714,Non-Rail
"Allentown, PA-NJ",2011,6915093,Non-Rail
"Allentown, PA-NJ",2012,6990652,Non-Rail
"Allentown, PA-NJ",2013,7146306,Non-Rail
"Allentown, PA-NJ",2014,6866676,Non-Rail
"Allentown, PA-NJ",2015,6257330,Non-Rail
"Allentown, PA-NJ",2016,5546502,Non-Rail
"Allentown, PA-NJ",2017,5642101,Non-Rail
"Allentown, PA-NJ",2018,5445268,Non-Rail
